date,series_id,value,release_date,vintage_date
2000-02-01,1,0.592417,2026-07-16,2026-07-16
2000-03-01,1,0.824499,2026-07-16,2026-07-16
2000-04-01,1,0.058411,2026-07-16,2026-07-16
2000-05-01,1,0.116754,2026-07-16,2026-07-16
2000-06-01,1,0.524781,2026-07-16,2026-07-16
2000-07-01,1,0.232019,2026-07-16,2026-07-16
2000-08-01,1,0.0,2026-07-16,2026-07-16
2000-09-01,1,0.520833,2026-07-16,2026-07-16
2000-10-01,1,0.172712,2026-07-16,2026-07-16
2000-11-01,1,0.057471,2026-07-16,2026-07-16
2000-12-01,1,-0.057438,2026-07-16,2026-07-16
2001-01-01,1,0.632184,2026-07-16,2026-07-16
2001-02-01,1,0.399772,2026-07-16,2026-07-16
2001-03-01,1,0.227531,2026-07-16,2026-07-16
2001-04-01,1,0.397276,2026-07-16,2026-07-16
2001-05-01,1,0.452233,2026-07-16,2026-07-16
2001-06-01,1,0.168824,2026-07-16,2026-07-16
2001-07-01,1,-0.280899,2026-07-16,2026-07-16
2001-08-01,1,0.0,2026-07-16,2026-07-16
2001-09-01,1,0.450704,2026-07-16,2026-07-16
2001-10-01,1,-0.336511,2026-07-16,2026-07-16
2001-11-01,1,-0.168824,2026-07-16,2026-07-16
2001-12-01,1,-0.394589,2026-07-16,2026-07-16
2002-01-01,1,0.226372,2026-07-16,2026-07-16
2002-02-01,1,0.395257,2026-07-16,2026-07-16
2002-03-01,1,0.56243,2026-07-16,2026-07-16
2002-04-01,1,0.559284,2026-07-16,2026-07-16
2002-05-01,1,0.0,2026-07-16,2026-07-16
2002-06-01,1,0.055617,2026-07-16,2026-07-16
2002-07-01,1,0.111173,2026-07-16,2026-07-16
2002-08-01,1,0.333148,2026-07-16,2026-07-16
2002-09-01,1,0.166021,2026-07-16,2026-07-16
2002-10-01,1,0.165746,2026-07-16,2026-07-16
2002-11-01,1,0.0,2026-07-16,2026-07-16
2002-12-01,1,-0.220629,2026-07-16,2026-07-16
2003-01-01,1,0.442233,2026-07-16,2026-07-16
2003-02-01,1,0.770501,2026-07-16,2026-07-16
2003-03-01,1,0.600765,2026-07-16,2026-07-16
2003-04-01,1,-0.217155,2026-07-16,2026-07-16
2003-05-01,1,-0.163221,2026-07-16,2026-07-16
2003-06-01,1,0.108992,2026-07-16,2026-07-16
2003-07-01,1,0.108873,2026-07-16,2026-07-16
2003-08-01,1,0.380642,2026-07-16,2026-07-16
2003-09-01,1,0.325027,2026-07-16,2026-07-16
2003-10-01,1,-0.107991,2026-07-16,2026-07-16
2003-11-01,1,-0.27027,2026-07-16,2026-07-16
2003-12-01,1,-0.108401,2026-07-16,2026-07-16
2004-01-01,1,0.488334,2026-07-16,2026-07-16
2004-02-01,1,0.539957,2026-07-16,2026-07-16
2004-03-01,1,0.644468,2026-07-16,2026-07-16
2004-04-01,1,0.320171,2026-07-16,2026-07-16
2004-05-01,1,0.585106,2026-07-16,2026-07-16
2004-06-01,1,0.317292,2026-07-16,2026-07-16
2004-07-01,1,-0.158144,2026-07-16,2026-07-16
2004-08-01,1,0.052798,2026-07-16,2026-07-16
2004-09-01,1,0.211082,2026-07-16,2026-07-16
2004-10-01,1,0.526593,2026-07-16,2026-07-16
2004-11-01,1,0.052383,2026-07-16,2026-07-16
2004-12-01,1,-0.366492,2026-07-16,2026-07-16
2005-01-01,1,0.210194,2026-07-16,2026-07-16
2005-02-01,1,0.576822,2026-07-16,2026-07-16
2005-03-01,1,0.782065,2026-07-16,2026-07-16
2005-04-01,1,0.67253,2026-07-16,2026-07-16
2005-05-01,1,-0.102775,2026-07-16,2026-07-16
2005-06-01,1,0.05144,2026-07-16,2026-07-16
2005-07-01,1,0.462725,2026-07-16,2026-07-16
2005-08-01,1,0.511771,2026-07-16,2026-07-16
2005-09-01,1,1.221996,2026-07-16,2026-07-16
2005-10-01,1,0.201207,2026-07-16,2026-07-16
2005-11-01,1,-0.803213,2026-07-16,2026-07-16
2005-12-01,1,-0.404858,2026-07-16,2026-07-16
2006-01-01,1,0.762195,2026-07-16,2026-07-16
2006-02-01,1,0.201715,2026-07-16,2026-07-16
2006-03-01,1,0.553598,2026-07-16,2026-07-16
2006-04-01,1,0.850851,2026-07-16,2026-07-16
2006-05-01,1,0.496278,2026-07-16,2026-07-16
2006-06-01,1,0.197531,2026-07-16,2026-07-16
2006-07-01,1,0.295712,2026-07-16,2026-07-16
2006-08-01,1,0.19656,2026-07-16,2026-07-16
2006-09-01,1,-0.490436,2026-07-16,2026-07-16
2006-10-01,1,-0.542139,2026-07-16,2026-07-16
2006-11-01,1,-0.148662,2026-07-16,2026-07-16
2006-12-01,1,0.148883,2026-07-16,2026-07-16
2007-01-01,1,0.305253,2026-07-16,2026-07-16
2007-02-01,1,0.535037,2026-07-16,2026-07-16
2007-03-01,1,0.91057,2026-07-16,2026-07-16
2007-04-01,1,0.649616,2026-07-16,2026-07-16
2007-05-01,1,0.611072,2026-07-16,2026-07-16
2007-06-01,1,0.193798,2026-07-16,2026-07-16
2007-07-01,1,-0.025438,2026-07-16,2026-07-16
2007-08-01,1,-0.18339,2026-07-16,2026-07-16
2007-09-01,1,0.275591,2026-07-16,2026-07-16
2007-10-01,1,0.213919,2026-07-16,2026-07-16
2007-11-01,1,0.593962,2026-07-16,2026-07-16
2007-12-01,1,-0.067086,2026-07-16,2026-07-16
2008-01-01,1,0.497058,2026-07-16,2026-07-16
2008-02-01,1,0.290411,2026-07-16,2026-07-16
2008-03-01,1,0.866821,2026-07-16,2026-07-16
2008-04-01,1,0.606478,2026-07-16,2026-07-16
2008-05-01,1,0.842089,2026-07-16,2026-07-16
2008-06-01,1,1.0077,2026-07-16,2026-07-16
2008-07-01,1,0.525101,2026-07-16,2026-07-16
