series_id,country,subject,indicator,series_name,data_type,frequency,description,haver_code,bls_code
1,US,Prices,CPI,CPI-U: Airline Fares (Index),NSA,M,CPI-U: Airline Fares - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:airline_fares
2,US,Prices,CPI,CPI-U: Airline Fares (Index),SA,M,CPI-U: Airline Fares - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:airline_fares
3,US,Prices,CPI,CPI-U: Airline Fares (Index),Weight,M,"CPI-U: Airline Fares - Weight (Relative Importance, Table 6 BLS)",,CPIUS:airline_fares
4,US,Prices,CPI,CPI-U: Alcoholic Beverages (Index),NSA,M,CPI-U: Alcoholic Beverages - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:alcoholic_bev
5,US,Prices,CPI,CPI-U: Alcoholic Beverages (Index),SA,M,CPI-U: Alcoholic Beverages - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:alcoholic_bev
6,US,Prices,CPI,CPI-U: Alcoholic Beverages (Index),Weight,M,"CPI-U: Alcoholic Beverages - Weight (Relative Importance, Table 6 BLS)",,CPIUS:alcoholic_bev
7,US,Prices,CPI,CPI-U: All Items (Index),NSA,M,CPI-U: All Items - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:all_items
8,US,Prices,CPI,CPI-U: All Items (Index),SA,M,CPI-U: All Items - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:all_items
9,US,Prices,CPI,CPI-U: All Items (Index),Weight,M,"CPI-U: All Items - Weight (Relative Importance, Table 6 BLS)",,CPIUS:all_items
10,US,Prices,CPI,CPI-U: Apparel (Index),NSA,M,CPI-U: Apparel - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:apparel
11,US,Prices,CPI,CPI-U: Apparel (Index),SA,M,CPI-U: Apparel - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:apparel
12,US,Prices,CPI,CPI-U: Apparel (Index),Weight,M,"CPI-U: Apparel - Weight (Relative Importance, Table 6 BLS)",,CPIUS:apparel
13,US,Prices,CPI,CPI-U: Car and Truck Rental (Index),NSA,M,CPI-U: Car and Truck Rental - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:car_truck_rental
14,US,Prices,CPI,CPI-U: Car and Truck Rental (Index),SA,M,CPI-U: Car and Truck Rental - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:car_truck_rental
15,US,Prices,CPI,CPI-U: Car and Truck Rental (Index),Weight,M,"CPI-U: Car and Truck Rental - Weight (Relative Importance, Table 6 BLS)",,CPIUS:car_truck_rental
16,US,Prices,CPI,CPI-U: All Items Less Food and Energy (Core) (Index),NSA,M,CPI-U: All Items Less Food and Energy (Core) - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:core
17,US,Prices,CPI,CPI-U: All Items Less Food and Energy (Core) (Index),SA,M,CPI-U: All Items Less Food and Energy (Core) - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:core
18,US,Prices,CPI,CPI-U: All Items Less Food and Energy (Core) (Index),Weight,M,"CPI-U: All Items Less Food and Energy (Core) - Weight (Relative Importance, Table 6 BLS)",,CPIUS:core
19,US,Prices,CPI,CPI-U: Core ex OER (Custom) (Index),NSA,M,CPI-U: Core ex OER (Custom) - Indice [NSA] (rebased jan/2000=100) - custom aggregation (Laspeyres algebra),,CPIUS:core_ex_oer
20,US,Prices,CPI,CPI-U: Core ex OER (Custom) (Index),SA,M,CPI-U: Core ex OER (Custom) - Indice [SA] (rebased jan/2000=100) - custom aggregation (Laspeyres algebra),,CPIUS:core_ex_oer
21,US,Prices,CPI,CPI-U: Core ex OER (Custom) (Index),Weight,M,CPI-U: Core ex OER (Custom) - Weight derivado (algebra Laspeyres da recipe),,CPIUS:core_ex_oer
22,US,Prices,CPI,CPI-U: Core Goods (Index),NSA,M,CPI-U: Core Goods - Indice [NSA] (rebased jan/2000=100) - Commodities less food and energy commodities (BLS item SACL1E) - BLS API v2 direto,,CPIUS:core_goods
23,US,Prices,CPI,CPI-U: Core Goods (Index),SA,M,CPI-U: Core Goods - Indice [SA] (rebased jan/2000=100) - Commodities less food and energy commodities (BLS item SACL1E) - BLS API v2 direto,,CPIUS:core_goods
24,US,Prices,CPI,CPI-U: Core Goods (Index),Weight,M,"CPI-U: Core Goods - Weight (Relative Importance, Table 6 BLS) - Commodities less food and energy commodities (BLS item SACL1E)",,CPIUS:core_goods
25,US,Prices,CPI,CPI-U: Core Services (Index),NSA,M,CPI-U: Core Services - Indice [NSA] (rebased jan/2000=100) - Services less energy services (BLS item SASLE) - BLS API v2 direto,,CPIUS:core_services
26,US,Prices,CPI,CPI-U: Core Services (Index),SA,M,CPI-U: Core Services - Indice [SA] (rebased jan/2000=100) - Services less energy services (BLS item SASLE) - BLS API v2 direto,,CPIUS:core_services
27,US,Prices,CPI,CPI-U: Core Services (Index),Weight,M,"CPI-U: Core Services - Weight (Relative Importance, Table 6 BLS) - Services less energy services (BLS item SASLE)",,CPIUS:core_services
